"","Tm","X.Bat","BatAge","R.G","G","PA","AB","RS","Hits.Made","X2B","X3B","HR.Made","RBI","SB","CS","BB.Made","SO.Batting","BA","OBP","SLG","OPS","OPS.PLUS","TB","GDP","HBP.Batting","SH","SF","IBB.Batting","LOB.Batting","X.P","PAge","RAperG","W","L","W.L.","ERA","GS","GF","CG","tSho","cSho","SV","IP","Hits.Allowed","RA","ER","HR.Allowed","BB.Allowed","IBB.Pitching","SO.Pitching","HBP.Pitching","BK","WP","BF","ERA.PLUS","FIP","WHIP","H9","HR9","BB9","SO9","SO.Walk","LOB.Pitching","year","RS.RA","PO","WS","X.Fld","RunsAllowedPerGame","DefEff","Inn","Ch","PO.Fielding","A","E","DP","Fld.Percent","Rtot","Rtot.yr"
"11","Kansas City Royals",39,25.8,3.6,163,6125,5462,586,1311,179,32,98,538,129,70,522,901,0.24,0.309,0.338,0.648,82,1848,125,43,57,38,40,1104,16,25.2,4.22,69,93,0.426,3.72,163,121,42,10,9,25,1464.2,1357,688,605,136,560,36,894,25,3,52,6222,99,3.69,1.309,8.3,0.8,3.4,5.5,1.6,1140,1969,-102,0,0,39,4.22,0.713,13182,6198,4389,1652,157,114,0.975,-14,-1
"12","Los Angeles Dodgers",38,27.4,3.98,162,6167,5532,645,1405,185,52,97,584,80,51,484,823,0.254,0.315,0.359,0.673,95,1985,110,21,96,33,63,1160,14,27.3,3.46,85,77,0.525,3.08,162,115,47,20,16,31,1457,1324,561,499,122,420,41,975,38,4,51,6028,108,3.2,1.197,8.2,0.8,2.6,6,2.32,1096,1969,84,0,0,35,3.46,0.713,13113,6333,4371,1836,126,130,0.98,20,2
"13","Minnesota Twins",36,28.8,4.88,162,6424,5677,790,1520,246,32,163,733,115,70,599,906,0.268,0.34,0.408,0.748,106,2319,114,43,65,40,78,1196,15,28.9,3.81,97,65,0.599,3.24,162,121,41,8,5,43,1497.2,1388,618,539,119,524,76,906,38,1,48,6292,114,3.46,1.277,8.3,0.7,3.1,5.4,1.73,1183,1969,172,1,0,35,3.81,0.709,13479,6509,4503,1856,150,177,0.977,18,2
"14","Montreal Expos",42,27.6,3.59,162,6073,5419,582,1300,202,33,125,542,52,52,529,962,0.24,0.31,0.359,0.669,87,1943,132,38,57,30,51,1144,18,26.8,4.88,52,110,0.321,4.33,162,136,26,8,8,21,1426,1429,791,686,145,702,76,973,49,9,64,6307,85,4.05,1.494,9,0.9,4.4,6.1,1.39,1238,1969,-209,0,0,42,4.88,0.684,12834,6246,4278,1784,184,179,0.971,-53,-5
"15","New York Mets",35,26,3.9,162,6102,5427,632,1311,184,41,109,598,66,43,527,1089,0.242,0.311,0.351,0.662,84,1904,105,33,82,33,58,1116,15,25.8,3.34,100,62,0.617,2.99,162,111,51,28,16,35,1468.1,1217,541,487,119,517,70,1012,29,8,56,6027,122,3.3,1.181,7.5,0.7,3.2,6.2,1.96,1081,1969,91,1,1,35,3.34,0.729,13217,6223,4405,1696,122,146,0.98,53,5
"16","New York Yankees",38,26.9,3.47,162,5992,5308,562,1247,210,44,94,521,119,74,565,840,0.235,0.308,0.344,0.652,86,1827,105,14,63,40,51,1088,14,26.6,3.62,80,81,0.497,3.23,162,109,53,13,11,20,1440.2,1258,587,517,118,522,65,801,18,0,46,5988,108,3.59,1.236,7.9,0.7,3.3,5,1.53,1080,1969,-25,0,0,37,3.62,0.729,12966,6324,4325,1868,131,158,0.979,44,4
"17","Oakland Athletics",40,26.3,4.57,162,6406,5614,740,1400,210,28,148,680,100,39,617,953,0.249,0.329,0.376,0.704,102,2110,124,63,74,35,66,1245,15,24.3,4.19,88,74,0.543,3.71,162,120,42,14,11,36,1480.2,1356,678,611,163,586,48,887,39,3,55,6244,92,4.01,1.312,8.2,1,3.6,5.4,1.51,1125,1969,62,0,0,38,4.19,0.72,13326,6358,4434,1787,137,162,0.978,40,4
"18","Philadelphia Phillies",34,27.2,3.98,162,6080,5408,645,1304,227,35,137,593,73,49,549,1130,0.241,0.312,0.372,0.684,93,2012,119,26,61,36,60,1087,15,26.1,4.6,63,99,0.389,4.14,162,115,47,14,14,21,1434,1494,745,660,134,570,57,921,38,8,54,6264,86,3.71,1.439,9.4,0.8,3.6,5.8,1.62,1217,1969,-100,0,0,33,4.6,0.685,12906,6191,4302,1753,136,157,0.978,-70,-6
"19","Pittsburgh Pirates",35,27.2,4.48,162,6235,5626,725,1557,220,52,119,651,74,34,454,944,0.277,0.334,0.398,0.732,107,2238,128,46,73,36,86,1189,16,28.2,4.02,88,74,0.543,3.61,162,123,39,9,5,33,1445.2,1348,652,580,96,553,48,1124,37,13,33,6119,97,3.04,1.315,8.4,0.6,3.4,7,2.03,1130,1969,73,0,0,35,4.02,0.686,13011,6274,4337,1782,155,169,0.975,-1,0
"20","San Diego Padres",42,26.2,2.89,162,5891,5357,468,1203,180,42,99,431,45,44,423,1143,0.225,0.285,0.329,0.614,75,1764,122,35,56,20,40,1067,17,24.9,4.6,52,110,0.321,4.24,162,146,16,9,5,25,1422.1,1454,746,670,113,592,86,764,39,5,65,6214,84,3.8,1.438,9.2,0.7,3.7,4.8,1.29,1201,1969,-278,0,0,42,4.6,0.694,12800,6237,4267,1814,156,140,0.975,-33,-3
"21","Seattle Pilots",53,28,3.92,163,6210,5444,639,1276,179,27,125,583,167,59,626,1015,0.234,0.316,0.346,0.662,88,1884,111,34,72,29,43,1130,25,28.4,4.9,64,98,0.395,4.35,163,142,21,6,5,33,1463.2,1490,799,707,172,653,75,963,47,9,61,6446,83,4.16,1.464,9.2,1.1,4,5.9,1.47,1257,1969,-160,0,0,52,4.9,0.691,13173,6316,4389,1760,167,149,0.974,-81,-7
"22","San Francisco Giants",37,27.9,4.4,162,6375,5474,713,1325,187,28,136,657,71,32,711,1054,0.242,0.334,0.361,0.695,96,1976,121,66,82,42,82,1280,14,29.5,3.93,90,72,0.556,3.26,162,91,71,15,15,17,1473.2,1381,636,533,120,461,65,906,35,5,54,6187,109,3.35,1.25,8.4,0.7,2.8,5.5,1.97,1130,1969,77,0,0,36,3.93,0.705,13263,6518,4421,1928,169,155,0.974,-16,-1
"23","St. Louis Cardinals",42,29,3.67,162,6154,5536,595,1403,228,44,90,561,87,49,503,876,0.253,0.316,0.359,0.676,89,1989,112,23,57,33,70,1189,20,27.9,3.33,87,75,0.537,2.94,162,99,63,12,11,26,1460.1,1289,540,477,99,511,61,1004,31,4,43,6073,122,3.12,1.233,7.9,0.6,3.1,6.2,1.96,1152,1969,55,0,0,42,3.33,0.711,13142,6209,4381,1690,138,144,0.978,-5,0
"24","Washington Senators",36,27.8,4.28,162,6197,5447,694,1365,171,40,148,640,52,40,630,900,0.251,0.33,0.378,0.708,103,2060,158,32,51,36,65,1181,16,27.1,3.98,86,76,0.531,3.49,162,134,28,10,7,41,1447.1,1310,644,561,135,656,37,835,36,5,57,6181,99,4,1.358,8.1,0.8,4.1,5.2,1.27,1196,1969,50,0,0,36,3.98,0.72,13026,6336,4332,1864,140,159,0.978,30,3
"25","Atlanta Braves1970",37,29.5,4.54,162,6202,5546,736,1495,215,24,160,692,58,34,522,736,0.27,0.334,0.404,0.738,93,2238,140,38,54,42,72,1157,17,28.7,4.77,76,86,0.469,4.33,162,117,45,9,9,24,1430.2,1451,772,688,185,478,42,960,30,7,44,6179,98,4.04,1.348,9.1,1.2,3,6,2.01,1115,1970,-36,0,0,37,4.77,0.699,12876,6117,4292,1684,141,118,0.977,-14,-1
"26","Baltimore Orioles1970",32,28.8,4.89,162,6417,5545,792,1424,213,25,179,748,84,39,717,952,0.257,0.344,0.401,0.745,105,2224,110,44,64,46,64,1262,12,28.5,3.54,108,54,0.667,3.15,162,102,60,12,12,31,1478.2,1317,574,517,139,469,40,941,23,5,44,6099,116,3.59,1.208,8,0.8,2.9,5.7,2.01,1090,1970,218,1,1,32,3.54,0.723,13308,6240,4430,1693,117,148,0.981,59,5
"27","Boston Red Sox1970",40,26.5,4.85,162,6251,5535,786,1450,252,28,203,743,50,48,594,855,0.262,0.335,0.428,0.763,103,2367,137,40,34,47,47,1149,20,27.9,4.46,87,75,0.537,3.87,162,124,38,8,7,44,1446.1,1391,722,622,156,594,49,1003,44,5,70,6258,103,3.98,1.372,8.7,1,3.7,6.2,1.69,1198,1970,64,0,0,40,4.46,0.7,13017,6088,4329,1603,156,131,0.974,13,1
"28","California Angels1970",40,26.6,3.9,162,6115,5532,631,1391,197,40,114,598,69,27,447,922,0.251,0.309,0.363,0.672,89,2010,118,29,69,37,56,1115,16,26,3.89,86,76,0.531,3.48,162,141,21,10,8,49,1462.1,1280,630,566,154,559,67,922,43,10,52,6100,104,3.98,1.258,7.9,0.9,3.4,5.7,1.65,1083,1970,1,0,0,39,3.89,0.727,13161,6290,4381,1782,127,169,0.98,58,5
"29","Chicago Cubs1970",43,30,4.98,162,6229,5491,806,1424,228,44,179,761,39,16,607,844,0.259,0.333,0.415,0.748,91,2277,110,20,75,36,65,1130,18,27.7,4.19,84,78,0.519,3.76,162,103,59,9,8,25,1435,1402,679,599,143,475,58,1000,25,4,40,6086,119,3.59,1.308,8.8,0.9,3,6.3,2.11,1102,1970,127,0,0,41,4.19,0.696,12915,6233,4305,1791,137,146,0.978,-10,-1
"30","Chicago White Sox1970",43,27.1,3.91,162,6134,5514,633,1394,192,20,123,587,53,33,477,872,0.253,0.315,0.362,0.676,86,1995,132,42,51,48,41,1145,21,27,5.07,56,106,0.346,4.54,162,142,20,6,5,30,1430.1,1554,822,722,164,556,67,762,44,4,63,6272,84,4.32,1.475,9.8,1,3.5,4.8,1.37,1159,1970,-189,0,0,42,5.07,0.684,12873,6511,4288,2058,165,187,0.975,-67,-6
"31","Cincinnati Reds1970",33,25.9,4.78,162,6227,5540,775,1498,253,45,191,726,115,52,547,984,0.27,0.336,0.436,0.772,103,2414,119,29,58,48,70,1178,15,25.2,4.2,102,60,0.63,3.69,162,130,32,15,9,60,1444.2,1370,681,592,118,592,74,843,29,9,43,6184,113,3.82,1.358,8.5,0.7,3.7,5.3,1.42,1169,1970,94,1,1,33,4.2,0.706,13002,6320,4334,1835,151,173,0.976,29,3
"32","Cleveland Indians1970",36,26.3,4.01,162,6125,5463,649,1358,197,23,183,617,25,36,503,909,0.249,0.314,0.394,0.707,91,2150,119,37,76,45,42,1111,16,25.9,4.17,76,86,0.469,3.91,162,128,34,8,5,35,1451.1,1333,675,630,163,689,62,1076,40,4,53,6228,100,4.12,1.393,8.3,1,4.3,6.7,1.56,1202,1970,-26,0,0,36,4.17,0.706,13062,6230,4357,1740,133,168,0.979,8,1
"33","Detroit Tigers1970",35,28.7,4.11,162,6200,5377,666,1282,207,38,148,619,29,30,656,825,0.238,0.322,0.374,0.696,91,2009,134,34,83,49,56,1186,16,26.6,4.51,79,83,0.488,4.09,162,129,33,9,7,39,1447.1,1443,731,658,153,623,31,1045,35,5,56,6319,92,3.93,1.427,9,1,3.9,6.5,1.68,1246,1970,-65,0,0,35,4.51,0.692,13026,6116,4343,1640,133,142,0.978,-55,-5
"34","Houston Astros1970",38,26.6,4.59,162,6306,5574,744,1446,250,47,129,694,114,41,598,911,0.259,0.332,0.391,0.722,97,2177,144,27,63,43,81,1186,17,26.3,4.71,79,83,0.488,4.23,162,126,36,6,5,35,1456,1491,763,685,131,577,45,942,41,5,91,6337,92,3.79,1.42,9.2,0.8,3.6,5.8,1.63,1206,1970,-19,0,0,37,4.71,0.688,13104,6299,4368,1791,140,144,0.978,-62,-6
"35","Kansas City Royals1970",38,26.4,3.77,162,6130,5503,611,1341,202,41,97,572,97,53,514,958,0.244,0.309,0.348,0.657,82,1916,126,21,63,27,42,1074,17,26.1,4.35,65,97,0.401,3.78,162,132,30,11,7,25,1463.2,1346,705,615,138,641,29,915,34,5,56,6253,99,4,1.358,8.3,0.8,3.9,5.6,1.43,1157,1970,-94,0,0,38,4.35,0.711,13173,6248,4390,1706,152,162,0.976,2,0
"36","Los Angeles Dodgers1970",37,27.9,4.65,161,6293,5606,749,1515,233,67,87,695,138,57,541,841,0.27,0.334,0.382,0.717,96,2143,113,24,72,50,67,1185,16,26.7,4.25,87,74,0.54,3.82,161,124,37,17,13,42,1458.2,1394,684,619,164,496,49,880,34,6,49,6192,100,3.98,1.296,8.6,1,3.1,5.4,1.77,1132,1970,65,0,0,37,4.25,0.714,13130,6279,4376,1768,135,135,0.978,43,4
"37","Milwaukee Brewers1970",45,29.2,3.76,163,6175,5395,613,1305,202,24,126,571,91,73,592,985,0.242,0.319,0.358,0.678,87,1933,132,36,115,32,54,1162,19,27.8,4.61,65,97,0.401,4.21,163,132,31,2,2,27,1446.2,1397,751,676,146,587,68,895,45,3,46,6236,90,4.02,1.371,8.7,0.9,3.7,5.6,1.52,1146,1970,-138,0,0,45,4.61,0.707,13020,6176,4316,1724,136,142,0.978,-35,-3
"38","Minnesota Twins1970",35,28.6,4.59,162,6143,5483,744,1438,230,41,153,694,57,52,501,905,0.262,0.327,0.403,0.73,98,2209,132,42,79,38,65,1103,13,28.1,3.73,98,64,0.605,3.23,162,136,26,12,8,58,1448.1,1329,605,520,130,486,51,940,37,4,38,6071,118,3.59,1.253,8.3,0.8,3,5.8,1.93,1122,1970,139,1,0,35,3.73,0.714,13035,6104,4345,1636,123,130,0.98,53,5
"39","Montreal Expos1970",40,27.7,4.24,162,6251,5411,687,1284,211,35,136,646,65,45,659,972,0.237,0.323,0.365,0.687,85,1973,106,39,107,35,64,1219,17,26.7,4.98,73,89,0.451,4.5,162,133,29,10,10,32,1438.2,1434,807,720,162,716,76,914,49,6,49,6347,91,4.43,1.494,9,1,4.5,5.7,1.28,1224,1970,-120,0,0,38,4.98,0.697,12948,6208,4316,1751,141,193,0.977,22,2
"40","New York Mets1970",34,26.5,4.29,162,6275,5443,695,1358,211,42,120,640,118,54,684,1062,0.249,0.333,0.37,0.703,89,2013,139,26,74,48,60,1211,14,26.1,3.89,83,79,0.512,3.45,162,115,47,10,10,32,1459.2,1260,630,559,135,575,96,1064,26,7,48,6134,116,3.62,1.257,7.8,0.8,3.5,6.6,1.85,1125,1970,65,0,0,34,3.89,0.721,13137,6017,4379,1514,124,136,0.979,44,4
"41","New York Yankees1970",34,27.2,4.17,163,6214,5492,680,1381,208,41,111,627,105,61,588,808,0.251,0.324,0.365,0.689,94,2004,115,25,60,46,48,1152,17,27.5,3.75,93,69,0.574,3.24,163,127,36,6,5,49,1471.2,1386,612,530,130,451,54,777,26,2,32,6143,109,3.7,1.248,8.5,0.8,2.8,4.8,1.72,1116,1970,68,0,0,34,3.75,0.718,13245,6466,4407,1929,130,146,0.98,25,2
"42","Oakland Athletics1970",39,27.8,4.19,162,6106,5376,678,1338,208,24,171,630,131,68,584,977,0.249,0.325,0.392,0.717,100,2107,121,36,73,36,55,1118,16,27.2,3.66,89,73,0.549,3.3,162,129,33,15,11,40,1442.2,1253,593,529,134,542,45,858,34,3,56,6029,108,3.85,1.244,7.8,0.8,3.4,5.4,1.58,1108,1970,85,0,0,39,3.66,0.728,12984,6133,4322,1670,141,152,0.977,40,4
"43","Philadelphia Phillies1970",39,26.8,3.69,161,6102,5456,594,1299,224,58,101,553,72,64,519,1066,0.238,0.305,0.356,0.661,79,1942,133,25,62,37,59,1093,15,28.8,4.53,73,88,0.453,4.17,161,137,24,8,6,36,1461,1483,730,677,132,538,51,1047,33,7,52,6294,97,3.55,1.383,9.1,0.8,3.3,6.4,1.95,1181,1970,-136,0,0,39,4.53,0.687,13149,6065,4383,1568,114,134,0.981,-71,-6
"44","Pittsburgh Pirates1970",39,27.8,4.5,162,6231,5637,729,1522,235,70,130,676,66,34,444,871,0.27,0.325,0.406,0.731,98,2287,117,44,53,53,82,1177,20,27.9,4.1,89,73,0.549,3.7,162,126,36,13,12,43,1453.2,1386,664,597,106,625,84,990,36,3,35,6197,106,3.59,1.383,8.6,0.7,3.9,6.1,1.58,1172,1970,65,1,0,38,4.1,0.692,13083,6428,4361,1930,137,195,0.979,32,3
"45","San Diego Padres1970",37,26.6,4.2,162,6146,5494,681,1353,208,36,172,629,60,45,500,1164,0.246,0.312,0.391,0.703,92,2149,111,39,83,29,46,1093,16,26.4,4.86,63,99,0.389,4.36,162,138,24,9,6,32,1440.1,1483,788,697,149,611,92,886,38,5,39,6326,91,4.1,1.454,9.3,0.9,3.8,5.5,1.45,1217,1970,-107,0,0,37,4.86,0.69,12963,6277,4321,1798,158,159,0.975,-26,-2
"46","San Francisco Giants1970",38,27.9,5.13,162,6469,5578,831,1460,257,35,165,773,83,27,729,1005,0.262,0.351,0.409,0.76,104,2282,144,56,66,40,95,1275,16,28.4,5.1,86,76,0.531,4.5,162,112,50,7,6,30,1457.2,1514,826,729,156,604,57,931,30,7,76,6408,90,4.06,1.453,9.3,1,3.7,5.7,1.54,1209,1970,5,0,0,38,5.1,0.686,13119,6317,4373,1774,170,153,0.973,-91,-8
"47","St. Louis Cardinals1970",47,27.6,4.59,162,6378,5689,744,1497,218,51,113,688,117,47,569,961,0.263,0.331,0.379,0.71,89,2156,138,26,52,40,65,1199,22,26.4,4.61,76,86,0.469,4.06,162,111,51,11,10,20,1475.2,1483,747,665,102,632,102,960,22,7,66,6425,103,3.57,1.433,9,0.6,3.9,5.9,1.52,1251,1970,-3,0,0,45,4.61,0.686,13281,6411,4427,1834,150,159,0.977,-77,-7
"48","Washington Senators1970",40,28.1,3.86,162,6224,5460,626,1302,184,28,138,583,72,42,635,989,0.238,0.321,0.358,0.679,92,1956,133,46,44,38,68,1196,17,27.6,4.25,70,92,0.432,3.8,162,142,20,11,7,40,1457.2,1375,689,615,139,611,75,823,27,5,51,6207,93,4.06,1.362,8.5,0.9,3.8,5.1,1.35,1146,1970,-63,0,0,39,4.25,0.716,13119,6426,4367,1943,116,173,0.982,42,4
"49","Atlanta Braves1971",35,27.2,3.97,162,6172,5575,643,1434,192,30,153,597,57,46,434,747,0.257,0.312,0.385,0.697,92,2145,120,28,91,44,72,1105,14,28.5,4.31,82,80,0.506,3.75,162,122,40,11,10,31,1474.2,1529,699,614,152,485,65,823,28,7,56,6311,99,3.72,1.366,9.3,0.9,3,5,1.7,1188,1971,-56,0,0,35,4.31,0.694,13272,6384,4424,1814,146,180,0.977,-55,-5
"50","Baltimore Orioles1971",31,29.8,4.7,158,6143,5303,742,1382,207,25,158,702,66,38,672,844,0.261,0.347,0.398,0.745,112,2113,127,46,85,37,69,1216,13,29.5,3.35,101,57,0.639,2.99,158,87,71,15,13,22,1415.1,1257,530,470,125,416,37,793,18,2,37,5799,113,3.4,1.182,8,0.8,2.6,5,1.91,1023,1971,212,1,1,31,3.35,0.729,12738,6024,4234,1678,112,148,0.981,54,5
"51","Boston Red Sox1971",36,27.9,4.27,162,6107,5401,691,1360,246,28,161,650,51,34,552,871,0.252,0.322,0.397,0.719,97,2145,146,32,75,47,46,1096,15,29.1,4.12,85,77,0.525,3.8,162,118,44,11,10,35,1443,1424,667,610,136,535,52,871,42,0,37,6188,97,3.67,1.358,8.9,0.8,3.3,5.4,1.63,1194,1971,24,0,0,36,4.12,0.703,12987,6062,4324,1622,116,149,0.981,16,2
"52","California Angels1971",36,27.7,3.15,162,6079,5495,511,1271,213,18,96,476,72,34,441,827,0.231,0.29,0.329,0.619,82,1808,141,29,83,31,61,1100,14,26.4,3.56,76,86,0.469,3.1,162,123,39,11,9,32,1481,1246,576,510,101,607,71,904,36,4,60,6168,105,3.42,1.251,7.6,0.6,3.7,5.5,1.49,1149,1971,-65,0,0,35,3.56,0.728,13329,6470,4443,1896,131,159,0.98,19,2
"53","Chicago Cubs1971",42,30.2,3.93,162,6132,5438,637,1401,202,34,128,603,44,32,527,772,0.258,0.325,0.378,0.703,89,2055,144,34,92,40,65,1177,15,28.7,4,83,79,0.512,3.61,162,87,75,17,16,13,1444,1458,648,579,132,411,53,900,26,6,38,6094,108,3.3,1.294,9.1,0.8,2.6,5.6,2.19,1114,1971,-11,0,0,41,4,0.696,12996,6283,4332,1825,126,150,0.98,-42,-4
"54","Chicago White Sox1971",36,25.6,3.81,162,6114,5382,617,1346,185,30,138,568,83,65,562,870,0.25,0.325,0.373,0.697,95,2005,105,51,81,38,45,1143,14,25.9,3.69,79,83,0.488,3.12,162,116,46,19,16,32,1450.1,1348,597,503,100,468,38,976,29,5,43,6089,116,3.03,1.252,8.4,0.6,2.9,6.1,2.09,1141,1971,20,0,0,36,3.69,0.701,13053,6350,4347,1843,160,128,0.975,-48,-4
"55","Cincinnati Reds1971",35,26.8,3.62,162,5976,5414,586,1306,203,28,138,542,59,33,438,907,0.241,0.3,0.366,0.665,92,1979,138,27,69,25,52,1049,15,25.1,3.59,79,83,0.488,3.35,162,135,27,11,7,38,1444,1298,581,538,112,501,68,750,27,4,33,5988,98,3.52,1.246,8.1,0.7,3.1,4.7,1.5,1075,1971,5,0,0,34,3.59,0.727,12996,6305,4332,1870,103,174,0.984,55,5
"56","Cleveland Indians1971",37,26.3,3.35,162,6063,5467,543,1303,200,20,109,507,57,37,467,868,0.238,0.3,0.342,0.643,76,1870,127,31,67,29,44,1135,16,25.1,4.61,60,102,0.37,4.28,162,141,21,7,4,32,1440,1352,747,684,154,770,69,937,48,8,66,6326,90,4.24,1.474,8.5,1,4.8,5.9,1.22,1259,1971,-204,0,0,37,4.61,0.712,12960,6140,4318,1706,116,159,0.981,-13,-1
"57","Detroit Tigers1971",38,29.6,4.33,162,6197,5502,701,1399,214,38,179,652,35,43,540,854,0.254,0.325,0.405,0.73,102,2226,129,55,62,37,70,1128,18,26.7,3.98,91,71,0.562,3.63,162,109,53,11,8,32,1468.1,1355,645,593,126,609,32,1000,49,5,40,6268,100,3.55,1.338,8.3,0.8,3.7,6.1,1.64,1218,1971,56,0,0,38,3.98,0.71,13220,6248,4395,1747,106,156,0.983,-8,-1
"58","Houston Astros1971",36,26.1,3.61,162,6105,5492,585,1319,230,52,71,547,101,51,478,888,0.24,0.302,0.34,0.642,84,1866,105,29,65,41,44,1099,17,26.5,3.5,79,83,0.488,3.13,162,119,43,10,10,25,1471.1,1318,567,512,75,475,52,914,60,3,64,6121,108,2.96,1.219,8.1,0.5,2.9,5.6,1.92,1140,1971,18,0,0,35,3.5,0.715,13242,6270,4414,1750,106,152,0.983,-3,0
